company_code,category,unit_no,status,company,city,sector,block,plot,house_no,flat,street,house_desc,covering_eligibility,unit_file_no
1000,BULD,A2-14-3-SA05-101,Occupied,SABIC,JUBAIL,A2,14,3,101,,AS-SALAM 5,3 BEDROOM APARTMENT,Apartment,
1000,BULD,B4-1-18-N03A-116,Vacant,SABIC,JUBAIL,B4,1,0018,116,,Najd 03A,3 BEDROOM APARTMENT,Apartment,
1000,BULD,B4-1-18-N03A-118,Vacant,SABIC,JUBAIL,B4,1,0018,118,,Najd 03A,3 BEDROOM APARTMENT,Apartment,
1000,BULD,B4-20-32-N12-107 A,Vacant,SABIC,JUBAIL,B4,20,0032,107 A,,Najd 12,1 BEDROOM APARTMENT,1 BEDROOM APARTMENT,
1000,BULD,D3-7-42-F03-130/3,Vacant,SABIC,JUBAIL,D3,7,0042,130/3,,Al Faiha 03,2 BEDROOM APARTMENT,Apartment,
1000,BULD,JC-204-203-JCJH-203-5,Returned,SABIC,JUBAIL,JC,204,0203,203,5,Al-Joharah,2 BEDROOM APARTMENT,Apartment,HQ1450
1000,BULD,JC-204-JCJH-323-5,Occupied,SABIC,JUBAIL,JC,204,0000,323,5,Al-Joharah,3 BEDROOM APARTMENT,Apartment,HQ1261
1000,BULD,JC-89/7-189A-JCDM-189A-5,Returned,SABIC,JUBAIL,JC,89/7,0189,189A,5,Al-Dakhel Al-Mahdood,2 BEDROOM APARTMENT,Apartment,HQ1245
1000,BULD,JC-89/7-85-JCDM-85-5,Vacant,SABIC,JUBAIL,JC,89/7,0085,85,5,Al-Dakhel Al-Mahdood,2 BEDROOM APARTMENT,Apartment,HQ1226
1000,CHU,A1-05-119-MR3O-312,Rented to others,SABIC,JUBAIL,A1,05,119,312,,AL MORABA'A 3/AL OLAYA,5 BEDROOM VILLA,House,
1000,CHU,A1-10-101-DR02-121,Occupied,SABIC,JUBAIL,A1,10,101,121,,AD'DIRYAH 02,5 BEDROOM VILLA,House,
1000,CHU,A1-10-32-R07N-120,Occupied,SABIC,JUBAIL,A1,10,32,120,,RIYADH7/AL NASEEM,5 BEDROOM VILLA,House,
1000,CHU,A1-10-56-L16O-110,Occupied,SABIC,JUBAIL,A1,10,56,110,,AL Lulu16/AL NASEEM/OTHAIBAT,5 BEDROOM VILLA,House,
1000,CHU,A1-10-70-R07N-213,Occupied,SABIC,JUBAIL,A1,10,70,213,,RIYADH7/AL NASEEM,5 BEDROOM VILLA,House,
1000,CHU,A1-10-71-L16A-103,Occupied,SABIC,JUBAIL,A1,10,71,103,,AL Lulu 16 / AL AREDH,5 BEDROOM VILLA,House,
1000,CHU,A1-10-90-DR02-111,Occupied,SABIC,JUBAIL,A1,10,90,111,,AD'DIRYAH 02,5 BEDROOM VILLA,House,
1000,CHU,A1-11-113-L15O-427,Occupied,SABIC,JUBAIL,A1,11,113,427,,AL Lulu 15 / AL OYAYNAH,5 BEDROOM VILLA,House,
1000,CHU,A1-11-16-L15O-322,Occupied,SABIC,JUBAIL,A1,11,16,322,,AL Lulu 15 / AL OYAYNAH,5 BEDROOM VILLA,House,
1000,CHU,A1-11-23-L15O-334,Occupied,SABIC,JUBAIL,A1,11,23,334,,AL Lulu 15 / AL OYAYNAH,5 BEDROOM VILLA,House,
